stock,name,positive_score,negative_score,avg_confidence
688981,中芯国际,0.5954861585299938,0.40451384147000624,0.9462139386551573
688599,天合光能,0,0,0
688506,百利天恒,0,0,0
688472,阿特斯,0,0,0
688396,华润微,0,0,0
688303,大全能源,0,0,0
688271,联影医疗,0,0,0
688256,寒武纪,0,0,0
688223,晶科能源,0,0,0
688187,时代电气,0,0,0
688169,石头科技,0,0,0
688126,沪硅产业,0,0,0
688111,金山办公,0,0,0
688082,盛美上海,0,0,0
688047,龙芯中科,0,0,0
688041,海光信息,0,0,0
688036,传音控股,0,0,0
688012,中微公司,0,0,0
688009,中国通号,0,0,0
688008,澜起科技,0,0,0
605499,东鹏饮料,0,0,0
605117,德业股份,0,0,0
603993,洛阳钼业,0,0,0
603986,兆易创新,0,0,0
603833,欧派家居,0.6813885413921499,0.3186114586078501,0.9739417694509029
603806,福斯特,0.37945255991588106,0.6205474400841189,0.8843351432255336
603799,华友钴业,0.3211214757099037,0.6788785242900963,0.9084241059091356
603501,豪威集团,0.31869946105071684,0.6813005389492832,0.8757693701320224
603392,万泰生物,0,0,0
603369,今世缘,0.38859075079928074,0.6114092492007193,0.9288182003157479
603296,华勤技术,0,0,0
603288,海天味业,0.8098868789683289,0.1901131210316711,0.9708617637234349
603260,合盛硅业,0,0,0
603259,药明康德,0.7821480193007674,0.21785198069923262,0.9630308354154546
603195,公牛集团,0,0,0
603019,中科曙光,0.546328713774102,0.45367128622589803,0.9358495235443115
601998,中信银行,0,0,0
601995,中金公司,0,0,0
601988,中国银行,0,0,0
601985,中国核电,0.46460453780800337,0.5353954621919966,0.9570218874857976
601939,建设银行,0.667084547086945,0.332915452913055,0.9966032008330027
601919,中远海控,0,0,0
601916,浙商银行,0,0,0
601901,方正证券,0,0,0
601899,紫金矿业,0.3301146451117938,0.6698853548882062,0.9249015324994138
601898,中煤能源,0.5108992997738826,0.4891007002261174,0.9204341354577438
601888,中国中免,0.5049172656598451,0.49508273434015493,0.9513219301899274
601881,中国银河,0,0,0
601878,浙商证券,0,0,0
601877,正泰电器,0.6521205018391145,0.3478794981608855,0.9620167146558347
601872,招商轮船,0,0,0
601868,中国能建,0,0,0
601865,福莱特,0,0,0
601857,中国石油,0.7576175394510978,0.24238246054890222,0.9573358051917132
601838,成都银行,0,0,0
601825,沪农商行,0,0,0
601818,光大银行,0.22083003247093344,0.7791699675290665,0.9323798077447074
601816,京沪高铁,0,0,0
601808,中海油服,0.32925737065599797,0.670742629344002,0.9889152778519524
601800,中国交建,0,0,0
601799,星宇股份,0.6524327410225523,0.34756725897744767,0.9700063829836638
601788,光大证券,0.6021525289509493,0.3978474710490507,0.9191784858703613
601766,中国中车,0.6008445800995499,0.3991554199004501,0.9388423930196201
601728,中国电信,0,0,0
601699,潞安环能,0.6609171266452583,0.33908287335474174,0.9217661023139954
601698,中国卫通,0,0,0
601689,拓普集团,0.5820560976859452,0.41794390231405476,0.9721862418310983
601688,华泰证券,0.6209436762739464,0.3790563237260536,0.9791554376996797
601669,中国电建,0,0,0
601668,中国建筑,0.9435622899492841,0.05643771005071585,0.9851414253634792
601658,邮储银行,0,0,0
601633,长城汽车,0.4379855062305683,0.5620144937694317,0.9378515619498032
601628,中国人寿,0.16636845052694763,0.8336315494730524,0.9877661565939585
601618,中国中冶,0,0,0
601607,上海医药,0.7461801739369225,0.2538198260630775,0.940564794070793
601601,中国太保,0.5758942101066903,0.4241057898933097,0.9250890378441129
601600,中国铝业,0.53378523358526,0.46621476641474,0.9395267208417256
601398,工商银行,0.6908561018194191,0.30914389818058086,0.9683222128794744
601390,中国中铁,0,0,0
601377,兴业证券,0,0,0
601360,三六零,0,0,0
601336,新华保险,0.6804066845881601,0.3195933154118399,0.9360608339309693
601328,交通银行,0,0,0
601319,中国人保,0.0,1.0,0.9883065819740295
601318,中国平安,0.727099703058287,0.272900296941713,0.9449524091136071
601298,青岛港,1.0,0.0,0.9747079312801361
601288,农业银行,0.5744105494297047,0.4255894505702953,0.9493836313486099
601238,广汽集团,0.6196465997361772,0.3803534002638228,0.9480612595876058
601236,红塔证券,0,0,0
