stock,name,positive_score,negative_score,avg_confidence
688981,中芯国际,0.6415499528710333,0.35845004712896666,0.9447872855430366
688599,天合光能,0,0,0
688506,百利天恒,0,0,0
688472,阿特斯,0,0,0
688396,华润微,0,0,0
688303,大全能源,0,0,0
688271,联影医疗,0,0,0
688256,寒武纪,0,0,0
688223,晶科能源,0,0,0
688187,时代电气,0,0,0
688169,石头科技,0,0,0
688126,沪硅产业,0,0,0
688111,金山办公,0,0,0
688082,盛美上海,0,0,0
688047,龙芯中科,0,0,0
688041,海光信息,0,0,0
688036,传音控股,0,0,0
688012,中微公司,0,0,0
688009,中国通号,0,0,0
688008,澜起科技,0,0,0
605499,东鹏饮料,0,0,0
605117,德业股份,0,0,0
603993,洛阳钼业,0,0,0
603986,兆易创新,0.738457431301838,0.26154256869816195,0.9721847071367151
603833,欧派家居,0.8023190725793747,0.19768092742062526,0.9658694096973964
603806,福斯特,0.6222137160676751,0.37778628393232494,0.9884487017989159
603799,华友钴业,0.6584440565596199,0.3415559434403801,0.9494304486683437
603501,豪威集团,0,0,0
603392,万泰生物,0,0,0
603369,今世缘,0.5727196159103791,0.4272803840896209,0.9692131876945496
603296,华勤技术,0,0,0
603288,海天味业,0.6806972829447181,0.3193027170552819,0.9106715687296607
603260,合盛硅业,0,0,0
603259,药明康德,0,0,0
603195,公牛集团,0,0,0
603019,中科曙光,0.8671422811603425,0.13285771883965747,0.9723649931990582
601998,中信银行,0,0,0
601995,中金公司,0,0,0
601988,中国银行,0,0,0
601985,中国核电,0.7245250189218577,0.2754749810781423,0.9443038105964661
601939,建设银行,0,0,0
601919,中远海控,0.40499079929921683,0.5950092007007832,0.9437556862831116
601916,浙商银行,0,0,0
601901,方正证券,0,0,0
601899,紫金矿业,0.4207140558120319,0.5792859441879681,0.9512402613957723
601898,中煤能源,0.0,1.0,0.9527219831943512
601888,中国中免,0.7149134932649466,0.2850865067350534,0.9513009693887499
601881,中国银河,0.8007338414835556,0.19926615851644436,0.9109317436814308
601878,浙商证券,1.0,0.0,0.9901934862136841
601877,正泰电器,0,0,0
601872,招商轮船,0.26808734228310344,0.7319126577168966,0.9487172024590629
601868,中国能建,0,0,0
601865,福莱特,0,0,0
601857,中国石油,0.523504787165177,0.476495212834823,0.9288535602390766
601838,成都银行,0,0,0
601825,沪农商行,0,0,0
601818,光大银行,0,0,0
601816,京沪高铁,0,0,0
601808,中海油服,0.493950639255061,0.506049360744939,0.9846693277359009
601800,中国交建,0,0,0
601799,星宇股份,0.8499052866221686,0.15009471337783142,0.9712233940760294
601788,光大证券,0,0,0
601766,中国中车,0.6705154720002157,0.32948452799978434,0.9771657188733419
601728,中国电信,0,0,0
601699,潞安环能,0.6872459422430559,0.3127540577569441,0.9376680765833173
601698,中国卫通,0,0,0
601689,拓普集团,0.8585456265401101,0.14145437345988987,0.9537325907837261
601688,华泰证券,0.7414831345157884,0.2585168654842116,0.964075512610949
601669,中国电建,0.5392873721409551,0.4607126278590449,0.9785482558337125
601668,中国建筑,0.733624990955848,0.266375009044152,0.9726122951507569
601658,邮储银行,0,0,0
601633,长城汽车,0.40162366521706117,0.5983763347829388,0.9425092292459387
601628,中国人寿,1.0,0.0,0.9925202608108521
601618,中国中冶,0.7548724084501839,0.24512759154981612,0.9477637708187103
601607,上海医药,0.6115503815096848,0.38844961849031523,0.9281153082847595
601601,中国太保,0,0,0
601600,中国铝业,0.3795409850711601,0.6204590149288399,0.9564415534337362
601398,工商银行,0.6559760681079664,0.3440239318920336,0.8889032304286957
601390,中国中铁,0,0,0
601377,兴业证券,0,0,0
601360,三六零,0,0,0
601336,新华保险,0.5175173501443523,0.4824826498556477,0.9593627005815506
601328,交通银行,0.4456332955266234,0.5543667044733767,0.9672097278677899
601319,中国人保,0,0,0
601318,中国平安,0.8159410526521199,0.1840589473478801,0.9671429615271719
601298,青岛港,0,0,0
601288,农业银行,0,0,0
601238,广汽集团,0.6162872340994568,0.38371276590054315,0.9762574521506705
601236,红塔证券,0,0,0
601229,上海银行,0,0,0
