stock,name,positive_score,negative_score,avg_confidence
688981,中芯国际,0.6312066207755261,0.36879337922447386,0.948815213545188
688599,天合光能,0,0,0
688506,百利天恒,0,0,0
688472,阿特斯,0,0,0
688396,华润微,0,0,0
688303,大全能源,0,0,0
688271,联影医疗,0,0,0
688256,寒武纪,0,0,0
688223,晶科能源,0,0,0
688187,时代电气,0,0,0
688169,石头科技,0,0,0
688126,沪硅产业,0,0,0
688111,金山办公,0,0,0
688082,盛美上海,0,0,0
688047,龙芯中科,0,0,0
688041,海光信息,0,0,0
688036,传音控股,0,0,0
688012,中微公司,0,0,0
688009,中国通号,0,0,0
688008,澜起科技,0,0,0
605499,东鹏饮料,0,0,0
605117,德业股份,0,0,0
603993,洛阳钼业,0,0,0
603986,兆易创新,0.5967906619063179,0.4032093380936821,0.971297538280487
603833,欧派家居,0.7738567935794087,0.22614320642059127,0.9351285806922025
603806,福斯特,0.5304746926107786,0.4695253073892214,0.9805208883787456
603799,华友钴业,0.6699874219120794,0.3300125780879206,0.9931668639183044
603501,豪威集团,0,0,0
603392,万泰生物,0,0,0
603369,今世缘,0.8527786192072876,0.1472213807927124,0.964400053024292
603296,华勤技术,0,0,0
603288,海天味业,0.8344278228849712,0.1655721771150288,0.9682986636956533
603260,合盛硅业,0,0,0
603259,药明康德,0,0,0
603195,公牛集团,0,0,0
603019,中科曙光,0.8026734859154078,0.19732651408459223,0.9365096550721389
601998,中信银行,0,0,0
601995,中金公司,0,0,0
601988,中国银行,0,0,0
601985,中国核电,0,0,0
601939,建设银行,0.7089777549595173,0.2910222450404827,0.9223282848085675
601919,中远海控,0.2833654492425909,0.7166345507574091,0.9568106333414713
601916,浙商银行,0,0,0
601901,方正证券,0,0,0
601899,紫金矿业,0.4460902281671316,0.5539097718328684,0.9883556167284647
601898,中煤能源,0,0,0
601888,中国中免,0.5938223599178317,0.4061776400821683,0.9419830376154756
601881,中国银河,0,0,0
601878,浙商证券,0.9089214067111447,0.09107859328885526,0.9955909468910911
601877,正泰电器,0.4464820506873763,0.5535179493126237,0.8996198111110263
601872,招商轮船,0.37396677251162314,0.6260332274883769,0.9953844621777534
601868,中国能建,0,0,0
601865,福莱特,0,0,0
601857,中国石油,0.6593492445483179,0.3406507554516821,0.9440057078997294
