stock,name,positive_score,negative_score,avg_confidence
688981,中芯国际,0.5501906205675667,0.44980937943243327,0.9447476573472275
688599,天合光能,0,0,0
688506,百利天恒,0,0,0
688472,阿特斯,0,0,0
688396,华润微,1.0,0.0,0.8743371725082397
688303,大全能源,0,0,0
688271,联影医疗,0,0,0
688256,寒武纪,0,0,0
688223,晶科能源,0,0,0
688187,时代电气,0,0,0
688169,石头科技,0.7019036397764261,0.2980963602235739,0.8323539363013374
688126,沪硅产业,0,0,0
688111,金山办公,0.8082315800380726,0.1917684199619274,0.9384957667320005
688082,盛美上海,0,0,0
688047,龙芯中科,0,0,0
688041,海光信息,0,0,0
688036,传音控股,0,0,0
688012,中微公司,0,0,0
688009,中国通号,0,0,0
688008,澜起科技,0.7372748152058638,0.2627251847941362,0.9507774710655212
605499,东鹏饮料,0,0,0
605117,德业股份,0,0,0
603993,洛阳钼业,0.5618097720456046,0.43819022795439544,0.9514742656187578
603986,兆易创新,0.695685115652567,0.30431488434743303,0.9476786705912376
603833,欧派家居,0.8395024345352188,0.16049756546478122,0.9756533652544022
603806,福斯特,0.5217179156636076,0.4782820843363924,0.9861145114898682
603799,华友钴业,0.5423842724319782,0.4576157275680218,0.9634380221366883
603501,豪威集团,0,0,0
603392,万泰生物,0,0,0
603369,今世缘,0,0,0
603296,华勤技术,0,0,0
603288,海天味业,0.7514636252391834,0.24853637476081658,0.9579610307138045
603260,合盛硅业,0,0,0
603259,药明康德,0.7338644682848092,0.2661355317151908,0.9389695773953977
603195,公牛集团,0.721487562183346,0.278512437816654,0.9795293467385429
603019,中科曙光,0.6122986492514783,0.38770135074852174,0.929342782497406
601998,中信银行,0.36975161069558904,0.630248389304411,0.9330100035056089
601995,中金公司,0,0,0
601988,中国银行,0.22527138785176698,0.7747286121482331,0.8869882225990295
601985,中国核电,0,0,0
601939,建设银行,0.7038060228330547,0.2961939771669453,0.9505259710199693
601919,中远海控,0,0,0
601916,浙商银行,0,0,0
601901,方正证券,0,0,0
601899,紫金矿业,0.5907550255750443,0.40924497442495567,0.9454381804840237
601898,中煤能源,0,0,0
601888,中国中免,0,0,0
601881,中国银河,0,0,0
601878,浙商证券,0,0,0
601877,正泰电器,0,0,0
601872,招商轮船,0,0,0
601868,中国能建,0,0,0
601865,福莱特,0.6603991046468425,0.3396008953531575,0.9501308500766754
601857,中国石油,0.11895464229423672,0.8810453577057633,0.9024880594677396
601838,成都银行,0,0,0
601825,沪农商行,0,0,0
601818,光大银行,0.416645187727634,0.583354812272366,0.9586223398937899
601816,京沪高铁,0,0,0
601808,中海油服,0.5400857145032462,0.45991428549675384,0.9664875846920591
601800,中国交建,0,0,0
601799,星宇股份,0,0,0
601788,光大证券,0,0,0
601766,中国中车,0.7607410024607518,0.23925899753924817,0.9692085245076347
601728,中国电信,0,0,0
601699,潞安环能,0,0,0
601698,中国卫通,0,0,0
601689,拓普集团,0.7352652847652331,0.2647347152347669,0.9672103098460606
601688,华泰证券,0.8885726658271104,0.11142733417288964,0.9831575519508786
601669,中国电建,0,0,0
601668,中国建筑,0,0,0
601658,邮储银行,0.5391370953735576,0.4608629046264424,0.9128496363049462
601633,长城汽车,0.5823195298107652,0.4176804701892348,0.9231675898327547
601628,中国人寿,0.7019507279389583,0.2980492720610417,0.9665484679372687
601618,中国中冶,0,0,0
601607,上海医药,0,0,0
601601,中国太保,0.6359282614374098,0.36407173856259023,0.9517721092259442
601600,中国铝业,0.19899879637723442,0.8010012036227656,0.9961750388145447
601398,工商银行,0.46129990140029814,0.5387000985997019,0.9667558044195175
601390,中国中铁,0.8077933448422195,0.19220665515778046,0.9872195661067963
601377,兴业证券,0,0,0
601360,三六零,0.6966513575696449,0.3033486424303551,0.9718429262821491
601336,新华保险,0.3853374610596033,0.6146625389403967,0.9681537889298939
601328,交通银行,0,0,0
601319,中国人保,0,0,0
601318,中国平安,0.6795333261855301,0.3204666738144699,0.9738159886112919
601298,青岛港,0,0,0
601288,农业银行,0.4385234866728036,0.5614765133271964,0.925460442116386
601238,广汽集团,0.5853672929770367,0.4146327070229633,0.9466496365410941
601236,红塔证券,0,0,0
601229,上海银行,0,0,0
601225,陕西煤业,0.6702526059561058,0.3297473940438942,0.9421265609562397
601211,国泰海通,0,0,0
601186,中国铁建,0.6922319890935493,0.3077680109064507,0.9014630496501923
601169,北京银行,0,0,0
601166,兴业银行,1.0,0.0,0.9432040353616079
601138,工业富联,0,0,0
601136,首创证券,0,0,0
601127,赛力斯,0,0,0
601117,中国化学,0,0,0
601111,中国国航,0,0,0
601100,恒立液压,0.628312736867826,0.37168726313217404,0.93836466409266
601088,中国神华,0.7338871535597662,0.2661128464402338,0.9465984503428141
601077,渝农商行,0,0,0
601066,中信建投,0.5078533204090687,0.4921466795909313,0.8395394171987262
601059,信达证券,0,0,0
601058,赛轮轮胎,0.509577872075143,0.49042212792485695,0.9299502340522973
601021,春秋航空,0,0,0
601012,隆基绿能,0.4873843619547489,0.5126156380452511,0.952790347666576
601009,南京银行,0,0,0
601006,大秦铁路,0,0,0
600999,招商证券,0.8345418251836031,0.1654581748163969,0.9866877992947897
600989,宝丰能源,0.8037245263704607,0.19627547362953934,0.9791025400161744
600958,东方证券,0,0,0
600941,中国移动,0,0,0
600938,中国海油,0,0,0
600926,杭州银行,0,0,0
600919,江苏银行,0.48541978333903163,0.5145802166609683,0.9553658834525517
600918,中泰证券,0,0,0
600905,三峡能源,0,0,0
600900,长江电力,0.6503455020157642,0.34965449798423576,0.9429511924584707
600893,航发动力,0,0,0
600887,伊利股份,0,0,0
600886,国投电力,0,0,0
600875,东方电气,0,0,0
600845,宝信软件,0.833731107920433,0.16626889207956697,0.9911724229653677
600809,山西汾酒,0.8033726314842372,0.1966273685157628,0.9444861762663898
600803,新奥股份,0,0,0
600795,国电电力,0,0,0
600760,中航沈飞,0,0,0
600741,华域汽车,0,0,0
600690,海尔智家,0,0,0
600674,川投能源,0,0,0
600660,福耀玻璃,0,0,0
600600,青岛啤酒,0.5434652321450102,0.4565347678549898,0.9322846556703249
600588,用友网络,0.8167957304543229,0.18320426954567715,0.9604799002408981
600585,海螺水泥,0.6438460097263699,0.35615399027363015,0.9482943081274265
600584,长电科技,0.20698633896471136,0.7930136610352887,0.9543088674545288
600570,恒生电子,0.7278836451664927,0.27211635483350727,0.9606625917481213
600547,山东黄金,0,0,0
600519,贵州茅台,0.3611562620745558,0.6388437379254441,0.9561455501959875
600515,海南机场,0,0,0
600489,中金黄金,0.6657377529112296,0.3342622470887704,0.9082132532046392
600482,中国动力,0.0,1.0,0.9352542757987976
600460,士兰微,0,0,0
600438,通威股份,0.5394207495434677,0.46057925045653225,0.9446112344294418
600436,片仔癀,0.7280003319943715,0.27199966800562847,0.9802616801526811
600426,华鲁恒升,0.3594058114754378,0.6405941885245622,0.9409465520612655
600415,小商品城,0,0,0
600406,国电南瑞,0,0,0
600377,宁沪高速,0,0,0
600372,中航机载,0.8546744186695431,0.14532558133045692,0.9703992264611381
600362,江西铜业,0,0,0
600346,恒力石化,0.3430941110109504,0.6569058889890496,0.9584532849716417
600332,白云山,0,0,0
600309,万华化学,0.5121410646503118,0.48785893534968816,0.9381148427031761
600276,恒瑞医药,0.6366385920422061,0.3633614079577939,0.9329130018966786
600233,圆通速递,0,0,0
600219,南山铝业,0.8323706492840033,0.16762935071599672,0.9913306931654612
600196,复星医药,0.5636427031444686,0.4363572968555314,0.9344853278129331
600188,兖矿能源,0.4149439141141916,0.5850560858858084,0.9202915344919477
600183,生益科技,0.770152879478254,0.22984712052174605,0.9675025145212809
600176,中国巨石,0.5368296736774422,0.46317032632255783,0.9655520646802841
600161,天坛生物,0.5402645857819425,0.4597354142180575,0.9317501620812849
600160,巨化股份,0.8723071871000723,0.12769281289992773,0.9729306846857071
600150,中国船舶,0,0,0
600115,中国东航,0,0,0
600111,北方稀土,0,0,0
600104,上汽集团,0.6337788389634167,0.3662211610365833,0.9776838441689809
600089,特变电工,0,0,0
600085,同仁堂,0,0,0
