stock,name,positive_score,negative_score,avg_confidence
688981,中芯国际,0.6559262816542306,0.3440737183457694,0.9494349671943216
688599,天合光能,0,0,0
688506,百利天恒,0,0,0
688472,阿特斯,0,0,0
688396,华润微,0,0,0
688303,大全能源,0,0,0
688271,联影医疗,0,0,0
688256,寒武纪,0,0,0
688223,晶科能源,0,0,0
688187,时代电气,0,0,0
688169,石头科技,0.6649381937224295,0.33506180627757054,0.9858704706033071
688126,沪硅产业,0,0,0
688111,金山办公,0,0,0
688082,盛美上海,0,0,0
688047,龙芯中科,0,0,0
688041,海光信息,0,0,0
688036,传音控股,0,0,0
688012,中微公司,0,0,0
688009,中国通号,0,0,0
688008,澜起科技,0.7186215541807456,0.2813784458192544,0.9537351510741494
605499,东鹏饮料,0,0,0
605117,德业股份,0,0,0
603993,洛阳钼业,0.1665139935395329,0.8334860064604671,0.9967956145604452
603986,兆易创新,0.25170998336416994,0.7482900166358301,0.9861505776643753
603833,欧派家居,0.8042957032783898,0.19570429672161016,0.9645141741939794
603806,福斯特,0.6837184240612377,0.31628157593876227,0.8902087807655334
603799,华友钴业,0.41730515102851096,0.582694848971489,0.9717623783009393
603501,豪威集团,0.632507681660841,0.36749231833915896,0.9451268296087941
603392,万泰生物,0,0,0
603369,今世缘,0.7293997871023384,0.27060021289766156,0.963603142897288
603296,华勤技术,0,0,0
603288,海天味业,0.7470810688078767,0.2529189311921233,0.9372431458310878
603260,合盛硅业,0,0,0
603259,药明康德,0.7856490367100273,0.21435096328997272,0.9733127020299435
603195,公牛集团,0,0,0
603019,中科曙光,0.6763189580272226,0.32368104197277736,0.958416473865509
601998,中信银行,0,0,0
601995,中金公司,0,0,0
601988,中国银行,0,0,0
601985,中国核电,0,0,0
601939,建设银行,0.684966194133584,0.31503380586641605,0.9504446238279343
601919,中远海控,0,0,0
601916,浙商银行,0,0,0
601901,方正证券,0,0,0
601899,紫金矿业,0.5428244544689927,0.45717554553100725,0.9502262183696548
601898,中煤能源,0,0,0
601888,中国中免,0.5818503963248984,0.41814960367510157,0.9545909796935924
601881,中国银河,0,0,0
601878,浙商证券,0,0,0
601877,正泰电器,1.0,0.0,0.8817580461502075
601872,招商轮船,0,0,0
601868,中国能建,0,0,0
601865,福莱特,0.4444715228926704,0.5555284771073297,0.9653636704791676
601857,中国石油,0,0,0
601838,成都银行,0,0,0
601825,沪农商行,0,0,0
601818,光大银行,0.5553246450833292,0.44467535491667076,0.9051332095774208
601816,京沪高铁,0,0,0
601808,中海油服,0,0,0
601800,中国交建,0.42502981784249005,0.57497018215751,0.9743842383225759
601799,星宇股份,0.5559387190614636,0.44406128093853636,0.9458775719006857
601788,光大证券,0,0,0
601766,中国中车,0.7096777072809137,0.2903222927190863,0.9413399887936456
601728,中国电信,0,0,0
601699,潞安环能,0.5632676210942507,0.43673237890574934,0.9554935097694397
601698,中国卫通,0.7219531590918106,0.27804684090818943,0.9340634601456779
601689,拓普集团,0.4514531911866237,0.5485468088133763,0.9724695290837969
601688,华泰证券,0.7141845172630451,0.2858154827369549,0.9597718384530809
601669,中国电建,0,0,0
601668,中国建筑,0.7232663552983465,0.2767336447016535,0.957096051286768
601658,邮储银行,0,0,0
601633,长城汽车,0.6721799220953143,0.3278200779046857,0.949148279428482
601628,中国人寿,0.5503317537039059,0.44966824629609414,0.9607874000513995
601618,中国中冶,0,0,0
601607,上海医药,0.6761377461003779,0.3238622538996221,0.9621956745783488
601601,中国太保,0.7838152912778081,0.21618470872219187,0.9475436280755436
601600,中国铝业,0.5061210112600445,0.4938789887399555,0.9690118928750356
601398,工商银行,0,0,0
601390,中国中铁,0.564886474865497,0.43511352513450297,0.9108877267156329
601377,兴业证券,0,0,0
601360,三六零,0.5748337489442734,0.4251662510557266,0.9560626745223999
601336,新华保险,0.6026730788301926,0.3973269211698074,0.9607042918602625
601328,交通银行,0,0,0
601319,中国人保,0,0,0
601318,中国平安,0.9446961434241533,0.05530385657584669,0.950631929071326
601298,青岛港,0,0,0
601288,农业银行,0.45801437102805004,0.54198562897195,0.9541479522182096
601238,广汽集团,0.5028257303014342,0.4971742696985658,0.9805476157104268
601236,红塔证券,1.0,0.0,0.9755743543306986
