quarter,stock,name,score_mean,score_std,n_reports,confidence,weight_change
2017_Q1,2714,牧原股份,0.0,0.0,0,1.0,0.0
2017_Q1,2736,国信证券,0.0,0.0,0,1.0,0.0
2017_Q1,2916,深南电路,0.0,0.0,0,1.0,0.0
2017_Q1,2920,德赛西威,0.0,0.0,0,1.0,0.0
2017_Q1,2938,鹏鼎控股,0.0,0.0,0,1.0,0.0
2017_Q1,3816,中国广核,0.0,0.0,0,1.0,0.0
2017_Q1,300014,亿纬锂能,0.1827560290694236,0.0129400202602238,2,0.987225284813113,0.18042137284937526
2017_Q1,300015,爱尔眼科,0.1653304249048233,0.0665204100250837,1,0.9376285635044534,0.15501852880709038
2017_Q1,300033,同花顺,0.0,0.0,0,1.0,0.0
2017_Q1,300059,东方财富,0.0,0.0,0,1.0,0.0
2017_Q1,300122,智飞生物,0.0,0.0,0,1.0,0.0
2017_Q1,300124,汇川技术,0.086871652243038,0.0870972259909496,3,0.9198809233354859,0.07991157567700503
2017_Q1,300274,阳光电源,0.0,0.0,0,1.0,0.0
2017_Q1,300308,中际旭创,0.6674894094467163,0.0665204100250837,1,0.9376285635044534,0.6258571361339605
2017_Q1,300316,晶盛机电,0.0,0.0,0,1.0,0.0
2017_Q1,300347,泰格医药,0.0,0.0,0,1.0,0.0
2017_Q1,300394,天孚通信,0.1648162007331848,0.0437864452116648,2,0.9580503795459947,0.15790222366775652
2017_Q1,300408,三环集团,0.072563961148262,0.0665204100250837,1,0.9376285635044534,0.06803804265363786
2017_Q1,300413,芒果超媒,0.0,0.0,0,1.0,0.0
2017_Q1,300418,昆仑万维,0.0,0.0,0,1.0,0.0
2017_Q1,300433,蓝思科技,0.0,0.0,0,1.0,0.0
2017_Q1,300442,润泽科技,0.0,0.0,0,1.0,0.0
2017_Q1,300498,温氏股份,0.0,0.0,0,1.0,0.0
2017_Q1,300502,新易盛,0.0,0.0,0,1.0,0.0
2017_Q1,300628,亿联网络,0.0,0.0,0,1.0,0.0
2017_Q1,300661,圣邦股份,0.0,0.0,0,1.0,0.0
2017_Q1,300750,宁德时代,0.0,0.0,0,1.0,0.0
2017_Q1,300759,康龙化成,0.0,0.0,0,1.0,0.0
2017_Q1,300760,迈瑞医疗,0.0,0.0,0,1.0,0.0
2017_Q1,300782,卓胜微,0.0,0.0,0,1.0,0.0
2017_Q1,300832,新产业,0.0,0.0,0,1.0,0.0
2017_Q1,300896,爱美客,0.0,0.0,0,1.0,0.0
2017_Q1,300979,华利集团,0.0,0.0,0,1.0,0.0
2017_Q1,300999,金龙鱼,0.0,0.0,0,1.0,0.0
2017_Q1,301236,软通动力,0.0,0.0,0,1.0,0.0
2017_Q1,301269,华大九天,0.0,0.0,0,1.0,0.0
2017_Q1,302132,中航成飞,0.0,0.0,0,1.0,0.0
2017_Q1,600000,浦发银行,0.0,0.0,0,1.0,0.0
2017_Q1,600009,上海机场,0.2031713724136352,0.0665204100250837,1,0.9376285635044534,0.1904992820614251
2017_Q1,600010,包钢股份,0.0,0.0,0,1.0,0.0
2017_Q1,600011,华能国际,0.096047505736351,0.0665204100250837,1,0.9376285635044534,0.09005688483176054
2017_Q1,600015,华夏银行,0.0,0.0,0,1.0,0.0
2017_Q1,600016,民生银行,0.0,0.0,0,1.0,0.0
2017_Q1,600018,上港集团,0.0,0.0,0,1.0,0.0
2017_Q1,600019,宝钢股份,0.0,0.0,0,1.0,0.0
2017_Q1,600023,浙能电力,0.0,0.0,0,1.0,0.0
2017_Q1,600025,华能水电,0.0,0.0,0,1.0,0.0
2017_Q1,600026,中远海能,0.0,0.0,0,1.0,0.0
2017_Q1,600027,华电国际,0.0,0.0,0,1.0,0.0
2017_Q1,600028,中国石化,0.1698332354426384,0.0613095348523875,2,0.9422321831293876,0.16002234019904446
2017_Q1,600029,南方航空,0.0,0.0,0,1.0,0.0
2017_Q1,600030,中信证券,0.0779594182968139,0.0665204100250837,1,0.9376285635044534,0.07309697738928442
2017_Q1,600031,三一重工,0.0,0.0,0,1.0,0.0
2017_Q1,600036,招商银行,0.0,0.0,0,1.0,0.0
2017_Q1,600039,四川路桥,0.0,0.0,0,1.0,0.0
2017_Q1,600048,保利发展,0.0,0.0,0,1.0,0.0
2017_Q1,600050,中国联通,0.1902279704809188,0.0665204100250837,1,0.9376285635044534,0.17836317870039148
2017_Q1,600061,国投资本,0.0,0.0,0,1.0,0.0
2017_Q1,600066,宇通客车,-0.0011493795318529,0.0665204100250837,1,0.9376285635044534,-0.0010776910793726558
2017_Q1,600085,同仁堂,0.0,0.0,0,1.0,0.0
2017_Q1,600089,特变电工,0.0548384226858615,0.0665204100250837,1,0.9376285635044534,0.05141807148779435
2017_Q1,600104,上汽集团,0.1482575548191865,0.1004622667074703,3,0.9087090309710949,0.13472297897388696
2017_Q1,600111,北方稀土,0.0,0.0,0,1.0,0.0
2017_Q1,600115,中国东航,0.0,0.0,0,1.0,0.0
2017_Q1,600150,中国船舶,0.0,0.0,0,1.0,0.0
2017_Q1,600160,巨化股份,0.0,0.0,0,1.0,0.0
2017_Q1,600161,天坛生物,0.1739585697650909,0.0665204100250837,1,0.9376285635044534,0.1631085238781314
2017_Q1,600176,中国巨石,0.0,0.0,0,1.0,0.0
2017_Q1,600183,生益科技,0.0,0.0,0,1.0,0.0
2017_Q1,600188,兖矿能源,0.1213260293006897,0.0665204100250837,1,0.9376285635044534,0.11375875056890491
2017_Q1,600196,复星医药,0.1949208229780197,0.0665204100250837,1,0.9376285635044534,0.18276333124598645
2017_Q1,600219,南山铝业,0.0,0.0,0,1.0,0.0
2017_Q1,600233,圆通速递,0.0,0.0,0,1.0,0.0
2017_Q1,600276,恒瑞医药,0.1565626959005991,0.0457747406118965,3,0.9562288714440424,0.14970977001126667
2017_Q1,600309,万华化学,0.0,0.0,0,1.0,0.0
2017_Q1,600332,白云山,0.1262523531913757,0.0448557729889452,3,0.9570698902676018,0.12083232581489645
2017_Q1,600346,恒力石化,0.0776289775967598,0.0665204100250837,1,0.9376285635044534,0.07278714675036929
2017_Q1,600362,江西铜业,0.0,0.0,0,1.0,0.0
2017_Q1,600372,中航机载,0.1405823677778244,0.0665204100250837,1,0.9376285635044534,0.13181404355357626
2017_Q1,600377,宁沪高速,0.0,0.0,0,1.0,0.0
2017_Q1,600406,国电南瑞,0.0,0.0,0,1.0,0.0
2017_Q1,600415,小商品城,0.0622761901468038,0.0326566031190255,2,0.9683761252091065,0.0603067757071474
2017_Q1,600426,华鲁恒升,0.0,0.0,0,1.0,0.0
2017_Q1,600436,片仔癀,0.0,0.0,0,1.0,0.0
2017_Q1,600438,通威股份,0.0,0.0,0,1.0,0.0
2017_Q1,600460,士兰微,0.0,0.0,0,1.0,0.0
2017_Q1,600482,中国动力,0.0,0.0,0,1.0,0.0
2017_Q1,600489,中金黄金,0.0,0.0,0,1.0,0.0
2017_Q1,600515,海南机场,0.0,0.0,0,1.0,0.0
2017_Q1,600519,贵州茅台,0.1316417455673217,0.0665204100250837,1,0.9376285635044534,0.12343106079350659
2017_Q1,600547,山东黄金,0.1654325127601623,0.0665204100250837,1,0.9376285635044534,0.15511424929624315
2017_Q1,600570,恒生电子,0.0106253335252404,0.0665204100250837,1,0.9376285635044534,0.009962616210026866
2017_Q1,600584,长电科技,0.0,0.0,0,1.0,0.0
2017_Q1,600585,海螺水泥,0.0421996414661407,0.0665204100250837,1,0.9376285635044534,0.039567589208300474
2017_Q1,600588,用友网络,0.0,0.0,0,1.0,0.0
2017_Q1,600600,青岛啤酒,0.0,0.0,0,1.0,0.0
2017_Q1,600660,福耀玻璃,0.1883884544173876,0.159421818564918,3,0.8624988627846908,0.16248482769676237
2017_Q1,600674,川投能源,0.0,0.0,0,1.0,0.0
2017_Q1,600690,海尔智家,0.0,0.0,0,1.0,0.0
2017_Q1,600741,华域汽车,0.0,0.0,0,1.0,0.0
2017_Q1,600760,中航沈飞,0.0,0.0,0,1.0,0.0
