quarter,stock,name,positive_score,negative_score,avg_confidence,weight_change
2017_Q1,601600,中国铝业,0.0,0.0,0.0,0.0
2017_Q1,601398,工商银行,0.0,0.0,0.0,0.0
2017_Q1,601390,中国中铁,0.0,0.0,0.0,0.0
2017_Q1,601377,兴业证券,0.0,0.0,0.0,0.0
2017_Q1,601360,三六零,0.0,0.0,0.0,0.0
2017_Q1,601336,新华保险,0.0,0.0,0.0,0.0
2017_Q1,601328,交通银行,0.3091419243022675,0.6908580756977325,0.9644257426261902,-0.3681368827819826
2017_Q1,601319,中国人保,0.0,0.0,0.0,0.0
2017_Q1,601318,中国平安,0.689336069149262,0.3106639308507379,0.9624692242721032,0.36446027920163915
2017_Q1,601298,青岛港,0.0,0.0,0.0,0.0
2017_Q1,601288,农业银行,0.0,0.0,0.0,0.0
2017_Q1,601238,广汽集团,0.6705110068651974,0.3294889931348026,0.952684630950292,0.32488643129666656
2017_Q1,601236,红塔证券,0.0,0.0,0.0,0.0
2017_Q1,601229,上海银行,0.518349791389561,0.4816502086104389,0.943432324811032,0.03462357270090214
2017_Q1,601225,陕西煤业,0.1970670377558966,0.8029329622441034,0.9938443422317504,-0.6021364212036132
2017_Q1,601211,国泰海通,0.0,0.0,0.0,0.0
2017_Q1,601186,中国铁建,0.5465827886270448,0.4534172113729552,0.968486785888672,0.09022963047027599
2017_Q1,601169,北京银行,0.0,0.0,0.0,0.0
2017_Q1,601166,兴业银行,0.0,0.0,0.0,0.0
2017_Q1,601138,工业富联,0.0,0.0,0.0,0.0
2017_Q1,601136,首创证券,0.0,0.0,0.0,0.0
2017_Q1,601127,赛力斯,0.7315194289994101,0.2684805710005898,0.9497144263366172,0.439754683395912
2017_Q1,601117,中国化学,1.0,0.0,0.9909433126449584,0.9909433126449584
2017_Q1,601111,中国国航,0.0,0.0,0.0,0.0
2017_Q1,601100,恒立液压,0.4044509133008763,0.5955490866991238,0.923527078969138,-0.17648433787482132
2017_Q1,601088,中国神华,0.5020215518469108,0.4979784481530892,0.9530533613302768,0.003853293565603485
2017_Q1,601077,渝农商行,0.0,0.0,0.0,0.0
2017_Q1,601066,中信建投,0.0,0.0,0.0,0.0
2017_Q1,601059,信达证券,0.0,0.0,0.0,0.0
