quarter,stock,name,weight_change,weight
2017_Q1,601186,中国铁建,0.0902296304702759,0.003387703882622723
2017_Q1,601169,北京银行,0.0,0.003107330591594195
2017_Q1,601166,兴业银行,0.0,0.003107330591594195
2017_Q1,601138,工业富联,0.0,0.003107330591594195
2017_Q1,601136,首创证券,0.0,0.003107330591594195
2017_Q1,601127,赛力斯,0.439754683395912,0.004473793772107132
2017_Q1,601117,中国化学,0.9909433126449584,0.006186519061511565
2017_Q1,601111,中国国航,0.0,0.003107330591594195
2017_Q1,601100,恒立液压,-0.1764843378748213,0.0025589354095785165
2017_Q1,601088,中国神华,0.0038532935656034,0.0031193040485689876
2017_Q1,601077,渝农商行,0.0,0.003107330591594195
2017_Q1,601066,中信建投,0.0,0.003107330591594195
2017_Q1,601059,信达证券,0.0,0.003107330591594195
2017_Q1,601058,赛轮轮胎,0.0,0.003107330591594195
2017_Q1,601021,春秋航空,-0.3182311753431955,0.0021184811252513073
2017_Q1,601012,隆基绿能,0.2136678753360624,0.0037712673170668762
2017_Q1,601009,南京银行,0.0,0.003107330591594195
2017_Q1,601006,大秦铁路,0.0353919366995494,0.00321730503919647
2017_Q1,600999,招商证券,0.2661329402643092,0.003934293618308393
2017_Q1,600989,宝丰能源,0.0,0.003107330591594195
2017_Q1,600958,东方证券,0.0734796665963672,0.003335656207469229
2017_Q1,600941,中国移动,0.0,0.003107330591594195
2017_Q1,600938,中国海油,0.0,0.003107330591594195
2017_Q1,600926,杭州银行,0.0,0.003107330591594195
2017_Q1,600919,江苏银行,0.0075136348605156,0.0031306779390503437
2017_Q1,600918,中泰证券,0.0,0.003107330591594195
2017_Q1,600905,三峡能源,0.0,0.003107330591594195
2017_Q1,600900,长江电力,0.0,0.003107330591594195
2017_Q1,600893,航发动力,0.0366413493951161,0.0032211873774869305
2017_Q1,600887,伊利股份,0.3170170962810517,0.004092407512926669
2017_Q1,600886,国投电力,0.0,0.003107330591594195
2017_Q1,600875,东方电气,0.0,0.003107330591594195
2017_Q1,600845,宝信软件,0.0,0.003107330591594195
2017_Q1,600809,山西汾酒,-0.0926223312105451,0.0028195223883588985
2017_Q1,600803,新奥股份,0.0263675600290299,0.0031892633174980954
2017_Q1,600795,国电电力,0.0,0.003107330591594195
2017_Q1,600760,中航沈飞,0.0,0.003107330591594195
2017_Q1,600741,华域汽车,0.0,0.003107330591594195
2017_Q1,600690,海尔智家,-0.1762491762638092,0.002559666134446383
2017_Q1,600674,川投能源,0.0,0.003107330591594195
2017_Q1,600660,福耀玻璃,0.5286728169607079,0.00475009180868048
2017_Q1,600600,青岛啤酒,-0.0159232392907141,0.0030578518230288836
2017_Q1,600588,用友网络,0.7304883492844446,0.005377199386128895
2017_Q1,600585,海螺水泥,0.2553600953972857,0.0039008188278945926
2017_Q1,600584,长电科技,0.7038282155990601,0.005294357537152309
2017_Q1,600570,恒生电子,0.4915970340371133,0.004634885094194689
2017_Q1,600547,山东黄金,-0.0923187583684921,0.0028204656895377865
2017_Q1,600519,贵州茅台,-0.3370426767750791,0.002060027571378197
2017_Q1,600515,海南机场,0.0,0.003107330591594195
2017_Q1,600489,中金黄金,0.0,0.003107330591594195
2017_Q1,600482,中国动力,0.5979316413402558,0.0049653018724129
2017_Q1,600460,士兰微,0.0,0.003107330591594195
2017_Q1,600438,通威股份,0.2505762510829502,0.0038859538421112338
2017_Q1,600436,片仔癀,0.0,0.003107330591594195
2017_Q1,600426,华鲁恒升,0.0,0.003107330591594195
