quarter,stock,name,score_mean,score_std,n_reports
2019Q4,000001,平安银行,0.0,0.0,0
2019Q4,000002,万科A,0.1365746110677719,0.11966704109100049,1
2019Q4,000063,中兴通讯,0.11898870766162872,0.11966704109100049,1
2019Q4,000100,TCL科技,0.0,0.0,0
2019Q4,000157,中联重科,0.1265543084591627,0.11598153375436646,2
2019Q4,000166,申万宏源,0.0,0.0,0
2019Q4,000301,东方盛虹,0.0,0.0,0
2019Q4,000333,美的集团,0.10471320152282715,0.11966704109100049,1
2019Q4,000338,潍柴动力,0.11299659684300423,0.06707069821081899,2
2019Q4,000408,藏格矿业,0.0,0.0,0
2019Q4,000425,徐工机械,0.06523527391254902,0.021829420179721018,2
2019Q4,000538,云南白药,-0.01934736594557762,0.11966704109100049,1
2019Q4,000568,泸州老窖,0.0990554690361023,0.11966704109100049,1
2019Q4,000596,古井贡酒,0.0,0.0,0
2019Q4,000617,中油资本,0.0,0.0,0
2019Q4,000625,长安汽车,0.25317550729960203,0.21057198521491705,5
2019Q4,000630,铜陵有色,0.0,0.0,0
2019Q4,000651,格力电器,0.0,0.0,0
2019Q4,000661,长春高新,0.0,0.0,0
2019Q4,000708,中信特钢,0.15074460208415985,0.11966704109100049,1
2019Q4,000725,京东方A,0.13594807436068854,0.09213081074826715,3
2019Q4,000768,中航西飞,0.0,0.0,0
2019Q4,000776,广发证券,0.0,0.0,0
2019Q4,000786,北新建材,0.0,0.0,0
2019Q4,000792,盐湖股份,0.0,0.0,0
2019Q4,000800,一汽解放,0.0,0.0,0
2019Q4,000807,云铝股份,0.0,0.0,0
2019Q4,000858,五粮液,0.07528952322900295,0.022430523801539454,2
2019Q4,000876,新希望,0.0,0.0,0
2019Q4,000895,双汇发展,0.0,0.0,0
2019Q4,000938,紫光股份,0.0,0.0,0
2019Q4,000963,华东医药,0.15687215328216553,0.11966704109100049,1
2019Q4,000975,山金国际,0.0,0.0,0
2019Q4,000977,浪潮信息,0.0,0.0,0
2019Q4,000983,山西焦煤,0.010026986710727215,0.11966704109100049,1
2019Q4,000999,华润三九,0.0,0.0,0
2019Q4,001289,龙源电力,0.0,0.0,0
2019Q4,001391,国货航,0.0,0.0,0
2019Q4,001965,招商公路,0.0,0.0,0
2019Q4,001979,招商蛇口,0.0,0.0,0
2019Q4,002001,新和成,0.0,0.0,0
2019Q4,002027,分众传媒,0.06529542803764343,0.11966704109100049,1
2019Q4,002028,思源电气,0.0,0.0,0
2019Q4,002049,紫光国微,0.3341178745031357,0.16926092175620447,2
2019Q4,002050,三花智控,0.2777390281359355,0.23214030255943152,3
2019Q4,002074,国轩高科,0.1971665620803833,0.11966704109100049,1
2019Q4,002129,TCL中环,0.3169978658358256,0.22342885826312014,3
2019Q4,002142,宁波银行,0.0,0.0,0
2019Q4,002179,中航光电,0.06127721847345432,0.09682313090128818,3
2019Q4,002180,纳思达,0.0,0.0,0
2019Q4,002230,科大讯飞,0.11736585572361946,0.03177028913915586,2
2019Q4,002236,大华股份,0.0,0.0,0
2019Q4,002241,歌尔股份,0.0,0.0,0
2019Q4,002252,上海莱士,0.0,0.0,0
2019Q4,002304,洋河股份,0.0,0.0,0
2019Q4,002311,海大集团,0.0,0.0,0
2019Q4,002352,顺丰控股,0.0,0.0,0
2019Q4,002371,北方华创,0.20666822418570518,0.18990215871369326,6
2019Q4,002415,海康威视,0.0,0.0,0
2019Q4,002422,科伦药业,0.0,0.0,0
2019Q4,002459,晶澳科技,0.0,0.0,0
2019Q4,002460,赣锋锂业,0.35313189029693604,0.11966704109100049,1
2019Q4,002463,沪电股份,0.16450877611835799,0.09926791347671735,3
2019Q4,002466,天齐锂业,0.0,0.0,0
2019Q4,002475,立讯精密,0.0,0.0,0
2019Q4,002493,荣盛石化,0.0,0.0,0
2019Q4,002594,比亚迪,0.15354500152170658,0.14948545975003305,2
2019Q4,002600,领益智造,0.0,0.0,0
2019Q4,002601,龙佰集团,0.0023066774010658264,0.03443530285912852,2
