quarter,stock,name,score_mean,score_std,n_reports
2025Q4,000001,平安银行,0.0,0.0,0
2025Q4,000002,万科A,0.0,0.0,0
2025Q4,000063,中兴通讯,0.0,0.0,0
2025Q4,000100,TCL科技,0.13441811501979828,0.07867638354483382,1
2025Q4,000157,中联重科,0.018540363322244957,0.027277251312817795,2
2025Q4,000166,申万宏源,0.0,0.0,0
2025Q4,000301,东方盛虹,0.0,0.0,0
2025Q4,000333,美的集团,0.0,0.0,0
2025Q4,000338,潍柴动力,0.0,0.0,0
2025Q4,000408,藏格矿业,0.0,0.0,0
2025Q4,000425,徐工机械,0.036742400377988815,0.07867638354483382,1
2025Q4,000538,云南白药,0.15111085772514343,0.07867638354483382,1
2025Q4,000568,泸州老窖,0.0,0.0,0
2025Q4,000596,古井贡酒,0.0,0.0,0
2025Q4,000617,中油资本,0.0,0.0,0
2025Q4,000625,长安汽车,0.038315909914672375,0.010320542258800148,2
2025Q4,000630,铜陵有色,0.0,0.0,0
2025Q4,000651,格力电器,0.0,0.0,0
2025Q4,000661,长春高新,0.0,0.0,0
2025Q4,000708,中信特钢,0.0,0.0,0
2025Q4,000725,京东方A,0.07970200479030609,0.07867638354483382,1
2025Q4,000768,中航西飞,0.0,0.0,0
2025Q4,000776,广发证券,0.0,0.0,0
2025Q4,000786,北新建材,0.0,0.0,0
2025Q4,000792,盐湖股份,0.0,0.0,0
2025Q4,000800,一汽解放,0.0,0.0,0
2025Q4,000807,云铝股份,0.0,0.0,0
2025Q4,000858,五粮液,0.0,0.0,0
2025Q4,000876,新希望,0.0,0.0,0
2025Q4,000895,双汇发展,0.0,0.0,0
2025Q4,000938,紫光股份,0.15307120978832245,0.07867638354483382,1
2025Q4,000963,华东医药,0.06473283283412457,0.023764123845409033,2
2025Q4,000975,山金国际,0.1508263349533081,0.07867638354483382,1
2025Q4,000977,浪潮信息,0.0,0.0,0
2025Q4,000983,山西焦煤,0.09050090052187443,0.057166497009588625,2
2025Q4,000999,华润三九,0.07735762000083923,0.07867638354483382,1
2025Q4,001289,龙源电力,0.0,0.0,0
2025Q4,001391,国货航,0.0,0.0,0
2025Q4,001965,招商公路,0.0,0.0,0
2025Q4,001979,招商蛇口,0.0,0.0,0
2025Q4,002001,新和成,0.020888565108180046,0.07867638354483382,1
2025Q4,002027,分众传媒,0.0,0.0,0
2025Q4,002028,思源电气,0.2966380715370178,0.07867638354483382,1
2025Q4,002049,紫光国微,0.0,0.0,0
2025Q4,002050,三花智控,0.07376270182430744,0.04891100413094151,2
2025Q4,002074,国轩高科,0.0,0.0,0
2025Q4,002129,TCL中环,0.0,0.0,0
2025Q4,002142,宁波银行,0.04906360059976578,0.07867638354483382,1
2025Q4,002179,中航光电,0.0,0.0,0
2025Q4,002180,纳思达,0.0,0.0,0
2025Q4,002230,科大讯飞,0.0,0.0,0
2025Q4,002236,大华股份,0.0,0.0,0
2025Q4,002241,歌尔股份,0.0,0.0,0
2025Q4,002252,上海莱士,0.04060009494423866,0.07867638354483382,1
2025Q4,002304,洋河股份,0.0,0.0,0
2025Q4,002311,海大集团,0.04662715783342719,0.052752194805784004,2
2025Q4,002352,顺丰控股,0.05214759334921837,0.07867638354483382,1
2025Q4,002371,北方华创,0.2403773069381714,0.12991698618525468,2
2025Q4,002415,海康威视,0.00023299183521885425,0.07867638354483382,1
2025Q4,002422,科伦药业,0.0,0.0,0
2025Q4,002459,晶澳科技,0.0,0.0,0
2025Q4,002460,赣锋锂业,0.0,0.0,0
2025Q4,002463,沪电股份,0.464158583432436,0.24782207850452806,6
2025Q4,002466,天齐锂业,0.0,0.0,0
2025Q4,002475,立讯精密,0.08048543334007263,0.07867638354483382,1
2025Q4,002493,荣盛石化,0.05163352005183697,0.026618076618899967,2
2025Q4,002594,比亚迪,0.04518417199142277,0.04055794262496265,4
2025Q4,002600,领益智造,0.11498844871918361,0.04389589794456829,3
2025Q4,002601,龙佰集团,0.09582467749714851,0.06646279661978188,3
2025Q4,002648,卫星化学,0.0,0.0,0
2025Q4,002709,天赐材料,0.17108237743377686,0.07867638354483382,1
2025Q4,002714,牧原股份,0.0681717482705911,0.023299113721359854,3
2025Q4,002736,国信证券,0.0,0.0,0
2025Q4,002916,深南电路,0.2784693241119385,0.07867638354483382,1
2025Q4,002920,德赛西威,0.020409487187862396,0.07867638354483382,1
2025Q4,002938,鹏鼎控股,0.0,0.0,0
2025Q4,003816,中国广核,0.0,0.0,0
2025Q4,300014,亿纬锂能,0.09579730778932571,0.07867638354483382,1
2025Q4,300015,爱尔眼科,0.0,0.0,0
2025Q4,300033,同花顺,0.0,0.0,0
2025Q4,300059,东方财富,0.005045129917562008,0.07867638354483382,1
2025Q4,300122,智飞生物,0.0,0.0,0
2025Q4,300124,汇川技术,0.08763875812292099,0.017363816700200038,2
2025Q4,300274,阳光电源,0.28461645543575287,0.17695744205647584,2
2025Q4,300308,中际旭创,0.049299705773591995,0.07867638354483382,1
2025Q4,300316,晶盛机电,0.0,0.0,0
2025Q4,300347,泰格医药,0.0,0.0,0
2025Q4,300394,天孚通信,0.11941703408956528,0.1396996174361334,2
2025Q4,300408,三环集团,0.15243080258369446,0.07867638354483382,1
2025Q4,300413,芒果超媒,0.0,0.0,0
2025Q4,300418,昆仑万维,0.0,0.0,0
2025Q4,300433,蓝思科技,0.0,0.0,0
2025Q4,300442,润泽科技,0.0,0.0,0
2025Q4,300498,温氏股份,0.0,0.0,0
2025Q4,300502,新易盛,0.18912793695926666,0.07867638354483382,1
2025Q4,300628,亿联网络,0.22415035963058472,0.07867638354483382,1
2025Q4,300661,圣邦股份,0.0,0.0,0
2025Q4,300750,宁德时代,0.10764476284384727,0.04111372915512681,2
2025Q4,300759,康龙化成,0.0,0.0,0
2025Q4,300760,迈瑞医疗,0.0331527233744661,0.01742592049801877,3
2025Q4,300782,卓胜微,0.11431192234158516,0.011747269715721598,2
2025Q4,300832,新产业,0.0,0.0,0
2025Q4,300896,爱美客,-0.009815558791160583,0.07867638354483382,1
2025Q4,300979,华利集团,0.0,0.0,0
2025Q4,300999,金龙鱼,0.0,0.0,0
2025Q4,301236,软通动力,0.0,0.0,0
2025Q4,301269,华大九天,0.0,0.0,0
2025Q4,302132,中航成飞,0.0,0.0,0
2025Q4,600000,浦发银行,0.0,0.0,0
2025Q4,600009,上海机场,0.0,0.0,0
2025Q4,600010,包钢股份,0.0,0.0,0
2025Q4,600011,华能国际,0.0,0.0,0
2025Q4,600015,华夏银行,0.0,0.0,0
2025Q4,600016,民生银行,0.0,0.0,0
2025Q4,600018,上港集团,0.0,0.0,0
2025Q4,600019,宝钢股份,0.0,0.0,0
2025Q4,600023,浙能电力,0.0,0.0,0
2025Q4,600025,华能水电,0.0,0.0,0
2025Q4,600026,中远海能,0.11390553414821625,0.07867638354483382,1
2025Q4,600027,华电国际,0.0,0.0,0
2025Q4,600028,中国石化,0.06292311691989501,0.06809551717717302,3
2025Q4,600029,南方航空,0.0,0.0,0
2025Q4,600030,中信证券,0.0,0.0,0
2025Q4,600031,三一重工,0.09318898618221283,0.07867638354483382,1
2025Q4,600036,招商银行,0.0,0.0,0
2025Q4,600039,四川路桥,0.0,0.0,0
2025Q4,600048,保利发展,0.0,0.0,0
2025Q4,600050,中国联通,0.0,0.0,0
2025Q4,600061,国投资本,0.0,0.0,0
2025Q4,600066,宇通客车,0.0,0.0,0
2025Q4,600085,同仁堂,0.0,0.0,0
2025Q4,600089,特变电工,0.033369023352861404,0.07867638354483382,1
2025Q4,600104,上汽集团,0.09408751130104065,0.005027887219682848,2
2025Q4,600111,北方稀土,0.09499116986989975,0.07867638354483382,1
2025Q4,600115,中国东航,0.048664964735507965,0.07867638354483382,1
2025Q4,600150,中国船舶,0.1003965437412262,0.012574701914043534,2
2025Q4,600160,巨化股份,0.058904580771923065,0.07867638354483382,1
2025Q4,600161,天坛生物,0.0,0.0,0
2025Q4,600176,中国巨石,0.08632110059261322,0.07867638354483382,1
2025Q4,600183,生益科技,0.07001825422048569,0.07867638354483382,1
2025Q4,600188,兖矿能源,0.07580757141113281,0.07867638354483382,1
2025Q4,600196,复星医药,0.0,0.0,0
2025Q4,600219,南山铝业,0.10628299415111542,0.07867638354483382,1
2025Q4,600233,圆通速递,0.0,0.0,0
2025Q4,600276,恒瑞医药,0.10376637428998947,0.07867638354483382,1
2025Q4,600309,万华化学,0.06665590405464172,0.07867638354483382,1
2025Q4,600332,白云山,0.09916950762271881,0.07867638354483382,1
2025Q4,600346,恒力石化,0.0,0.0,0
2025Q4,600362,江西铜业,0.0,0.0,0
2025Q4,600372,中航机载,0.0,0.0,0
2025Q4,600377,宁沪高速,0.0,0.0,0
2025Q4,600406,国电南瑞,0.09790672361850739,0.07867638354483382,1
2025Q4,600415,小商品城,0.027916939929127693,0.07867638354483382,1
2025Q4,600426,华鲁恒升,0.03649323216329018,0.05498496931680843,3
2025Q4,600436,片仔癀,0.0,0.0,0
2025Q4,600438,通威股份,0.15944094210863113,0.07207358708097882,2
2025Q4,600460,士兰微,0.0,0.0,0
2025Q4,600482,中国动力,0.0,0.0,0
2025Q4,600489,中金黄金,0.0,0.0,0
2025Q4,600515,海南机场,0.0,0.0,0
2025Q4,600519,贵州茅台,0.0818413645029068,0.07867638354483382,1
2025Q4,600547,山东黄金,0.0,0.0,0
2025Q4,600570,恒生电子,0.0,0.0,0
