quarter,stock,name,score_mean,score_std,n_reports
2017Q3,000001,平安银行,-0.004790625534951687,0.07173209138181312,1
2017Q3,000002,万科A,0.003389738529222086,0.005689883776817381,2
2017Q3,000063,中兴通讯,0.23187020421028137,0.07173209138181312,1
2017Q3,000100,TCL科技,0.0,0.0,0
2017Q3,000157,中联重科,0.0,0.0,0
2017Q3,000166,申万宏源,0.0,0.0,0
2017Q3,000301,东方盛虹,0.0,0.0,0
2017Q3,000333,美的集团,0.09542570263147354,0.07173209138181312,1
2017Q3,000338,潍柴动力,0.1266769915819168,0.07173209138181312,1
2017Q3,000408,藏格矿业,0.0,0.0,0
2017Q3,000425,徐工机械,0.0,0.0,0
2017Q3,000538,云南白药,0.0,0.0,0
2017Q3,000568,泸州老窖,0.0,0.0,0
2017Q3,000596,古井贡酒,0.0,0.0,0
2017Q3,000617,中油资本,0.0,0.0,0
2017Q3,000625,长安汽车,0.0,0.0,0
2017Q3,000630,铜陵有色,0.0,0.0,0
2017Q3,000651,格力电器,0.12893034517765045,0.07173209138181312,1
2017Q3,000661,长春高新,0.08729078620672226,0.07173209138181312,1
2017Q3,000708,中信特钢,0.0,0.0,0
2017Q3,000725,京东方A,0.055110931396484375,0.07173209138181312,1
2017Q3,000768,中航西飞,0.0,0.0,0
2017Q3,000776,广发证券,0.0,0.0,0
2017Q3,000786,北新建材,0.0,0.0,0
2017Q3,000792,盐湖股份,0.0,0.0,0
2017Q3,000800,一汽解放,0.041391048580408096,0.07173209138181312,1
2017Q3,000807,云铝股份,0.0,0.0,0
2017Q3,000858,五粮液,0.25448061525821686,0.1346101009872155,2
2017Q3,000876,新希望,-0.031093202531337738,0.07173209138181312,1
2017Q3,000895,双汇发展,0.032261934131383896,0.07173209138181312,1
2017Q3,000938,紫光股份,0.04999348893761635,0.07173209138181312,1
2017Q3,000963,华东医药,0.07660824805498123,0.07173209138181312,1
2017Q3,000975,山金国际,0.16361147165298462,0.07173209138181312,1
2017Q3,000977,浪潮信息,0.03837934508919716,0.07173209138181312,1
2017Q3,000983,山西焦煤,0.0,0.0,0
2017Q3,000999,华润三九,0.0,0.0,0
2017Q3,001289,龙源电力,0.0,0.0,0
2017Q3,001391,国货航,0.0,0.0,0
2017Q3,001965,招商公路,0.0,0.0,0
2017Q3,001979,招商蛇口,0.019080236554145813,0.07173209138181312,1
2017Q3,002001,新和成,0.0,0.0,0
2017Q3,002027,分众传媒,0.06944229453802109,0.07173209138181312,1
2017Q3,002028,思源电气,0.0,0.0,0
2017Q3,002049,紫光国微,0.0,0.0,0
2017Q3,002050,三花智控,0.0,0.0,0
2017Q3,002074,国轩高科,0.11274001002311707,0.07173209138181312,1
2017Q3,002129,TCL中环,0.0,0.0,0
2017Q3,002142,宁波银行,0.0,0.0,0
2017Q3,002179,中航光电,0.0,0.0,0
2017Q3,002180,纳思达,0.0,0.0,0
2017Q3,002230,科大讯飞,0.1612317794933915,0.08751686550473063,4
2017Q3,002236,大华股份,0.09157078340649605,0.043047226367276197,2
2017Q3,002241,歌尔股份,0.0,0.0,0
2017Q3,002252,上海莱士,0.0,0.0,0
2017Q3,002304,洋河股份,0.0,0.0,0
2017Q3,002311,海大集团,0.021837956582506497,0.04628830294160622,3
2017Q3,002352,顺丰控股,0.040169980066517987,0.03421892572077354,3
2017Q3,002371,北方华创,0.0,0.0,0
2017Q3,002415,海康威视,0.0,0.0,0
2017Q3,002422,科伦药业,0.0,0.0,0
2017Q3,002459,晶澳科技,0.0,0.0,0
2017Q3,002460,赣锋锂业,0.02839762531220913,0.07173209138181312,1
2017Q3,002463,沪电股份,0.0,0.0,0
2017Q3,002466,天齐锂业,0.0,0.0,0
2017Q3,002475,立讯精密,0.13683262467384338,0.07173209138181312,1
2017Q3,002493,荣盛石化,0.048113865262296586,0.033988373425602195,7
2017Q3,002594,比亚迪,0.0,0.0,0
2017Q3,002600,领益智造,0.0,0.0,0
2017Q3,002601,龙佰集团,0.0811660975838701,0.08229379233002102,3
2017Q3,002648,卫星化学,0.0,0.0,0
2017Q3,002709,天赐材料,0.05661889910697937,0.07173209138181312,1
2017Q3,002714,牧原股份,0.11595945805311203,0.07173209138181312,1
2017Q3,002736,国信证券,0.0,0.0,0
2017Q3,002916,深南电路,0.0,0.0,0
2017Q3,002920,德赛西威,0.0,0.0,0
2017Q3,002938,鹏鼎控股,0.0,0.0,0
2017Q3,003816,中国广核,0.0,0.0,0
2017Q3,300014,亿纬锂能,0.0,0.0,0
2017Q3,300015,爱尔眼科,0.18762612342834473,0.05649999991812751,2
2017Q3,300033,同花顺,0.0,0.0,0
2017Q3,300059,东方财富,0.0,0.0,0
2017Q3,300122,智飞生物,0.1862364560365677,0.07173209138181312,1
2017Q3,300124,汇川技术,0.04520132765173912,0.023529533069279296,3
2017Q3,300274,阳光电源,0.0,0.0,0
2017Q3,300308,中际旭创,0.11846821755170822,0.07173209138181312,1
2017Q3,300316,晶盛机电,0.13940922915935516,0.015386950380932938,2
2017Q3,300347,泰格医药,0.2157844603061676,0.07173209138181312,1
2017Q3,300394,天孚通信,0.08861400187015533,0.04407191635334125,2
2017Q3,300408,三环集团,0.007320455275475979,0.07173209138181312,1
2017Q3,300413,芒果超媒,0.0,0.0,0
2017Q3,300418,昆仑万维,0.13175281385580698,0.055839525823407926,3
2017Q3,300433,蓝思科技,0.15653358399868011,0.07173209138181312,1
2017Q3,300442,润泽科技,0.0,0.0,0
2017Q3,300498,温氏股份,0.022064617834985256,0.00632680172431698,2
2017Q3,300502,新易盛,0.3462643027305603,0.07173209138181312,1
2017Q3,300628,亿联网络,0.12636657152324915,0.147081267850803,2
2017Q3,300661,圣邦股份,0.0,0.0,0
2017Q3,300750,宁德时代,0.0,0.0,0
2017Q3,300759,康龙化成,0.0,0.0,0
2017Q3,300760,迈瑞医疗,0.0,0.0,0
2017Q3,300782,卓胜微,0.0,0.0,0
2017Q3,300832,新产业,0.0,0.0,0
2017Q3,300896,爱美客,0.0,0.0,0
2017Q3,300979,华利集团,0.0,0.0,0
2017Q3,300999,金龙鱼,0.0,0.0,0
2017Q3,301236,软通动力,0.0,0.0,0
2017Q3,301269,华大九天,0.0,0.0,0
2017Q3,302132,中航成飞,0.0,0.0,0
2017Q3,600000,浦发银行,0.016578875482082367,0.07173209138181312,1
2017Q3,600009,上海机场,0.0,0.0,0
2017Q3,600010,包钢股份,0.0,0.0,0
2017Q3,600011,华能国际,0.0,0.0,0
2017Q3,600015,华夏银行,0.0,0.0,0
2017Q3,600016,民生银行,0.0,0.0,0
2017Q3,600018,上港集团,0.0,0.0,0
2017Q3,600019,宝钢股份,0.15171372393767038,0.02923546352883193,3
2017Q3,600023,浙能电力,0.0,0.0,0
2017Q3,600025,华能水电,0.0,0.0,0
2017Q3,600026,中远海能,0.0,0.0,0
2017Q3,600027,华电国际,0.0,0.0,0
2017Q3,600028,中国石化,0.06182354067762693,0.05448887403244275,3
2017Q3,600029,南方航空,0.0,0.0,0
2017Q3,600030,中信证券,0.10465887188911438,0.07173209138181312,1
2017Q3,600031,三一重工,0.07933834195137024,0.05962426150454306,2
2017Q3,600036,招商银行,0.0,0.0,0
2017Q3,600039,四川路桥,0.0,0.0,0
2017Q3,600048,保利发展,0.012049393728375435,0.07173209138181312,1
2017Q3,600050,中国联通,0.03378230053931475,0.049207383036509775,3
2017Q3,600061,国投资本,0.0,0.0,0
2017Q3,600066,宇通客车,0.06018296116963029,0.0949332020203071,2
2017Q3,600085,同仁堂,0.0,0.0,0
2017Q3,600089,特变电工,0.07585883885622025,0.0710661088141744,2
2017Q3,600104,上汽集团,0.013269062153995037,0.07173209138181312,1
2017Q3,600111,北方稀土,0.0,0.0,0
2017Q3,600115,中国东航,0.030876372009515762,0.07173209138181312,1
2017Q3,600150,中国船舶,0.0,0.0,0
2017Q3,600160,巨化股份,0.0,0.0,0
2017Q3,600161,天坛生物,0.0,0.0,0
2017Q3,600176,中国巨石,-0.008589939214289188,0.07173209138181312,1
2017Q3,600183,生益科技,0.0,0.0,0
2017Q3,600188,兖矿能源,0.0,0.0,0
2017Q3,600196,复星医药,0.11775009706616402,0.059324423555880496,2
2017Q3,600219,南山铝业,0.0,0.0,0
2017Q3,600233,圆通速递,0.0,0.0,0
2017Q3,600276,恒瑞医药,0.1024402795980374,0.13896756240155664,3
2017Q3,600309,万华化学,0.2826444847243173,0.08732922950316094,7
2017Q3,600332,白云山,0.0,0.0,0
2017Q3,600346,恒力石化,0.07559476047754288,0.07173209138181312,1
2017Q3,600362,江西铜业,0.0,0.0,0
2017Q3,600372,中航机载,0.0,0.0,0
2017Q3,600377,宁沪高速,0.0,0.0,0
2017Q3,600406,国电南瑞,0.08008529618382454,0.04581546211184432,3
2017Q3,600415,小商品城,0.0,0.0,0
2017Q3,600426,华鲁恒升,0.0,0.0,0
2017Q3,600436,片仔癀,0.0,0.0,0
2017Q3,600438,通威股份,0.03043198212981224,0.0064467466166838955,3
2017Q3,600460,士兰微,0.0,0.0,0
2017Q3,600482,中国动力,0.001951895421370864,0.011544953318340417,2
2017Q3,600489,中金黄金,0.0,0.0,0
2017Q3,600515,海南机场,0.0,0.0,0
2017Q3,600519,贵州茅台,0.08740581572055817,0.006034965091426405,2
2017Q3,600547,山东黄金,0.0,0.0,0
2017Q3,600570,恒生电子,0.0,0.0,0
2017Q3,600584,长电科技,0.0,0.0,0
2017Q3,600585,海螺水泥,0.035683613270521164,0.07173209138181312,1
2017Q3,600588,用友网络,0.018622837960720062,0.07173209138181312,1
2017Q3,600600,青岛啤酒,0.0,0.0,0
2017Q3,600660,福耀玻璃,0.07630901038646698,0.07173209138181312,1
2017Q3,600674,川投能源,0.035309839993715286,0.07173209138181312,1
2017Q3,600690,海尔智家,0.17629611492156982,0.07173209138181312,1
2017Q3,600741,华域汽车,0.06177886202931404,0.07173209138181312,1
2017Q3,600760,中航沈飞,0.04506270959973335,0.07173209138181312,1
2017Q3,600795,国电电力,0.0,0.0,0
2017Q3,600803,新奥股份,0.15273895859718323,0.07173209138181312,1
2017Q3,600809,山西汾酒,0.15501860156655312,0.11961622792056335,2
