序号,股票代码,股票简称,主营行业
209,300433,蓝思科技,电子设备
210,300418,昆仑万维,互联网
211,300413,芒果超媒,互联网
212,300408,三环集团,电子设备
213,300394,天孚通信,电子设备
214,300347,泰格医药,医药生物
215,300316,晶盛机电,电气设备
216,300308,中际旭创,信息技术
217,300274,阳光电源,电气设备
218,300124,汇川技术,机械设备
219,300122,智飞生物,医药生物
220,300059,东方财富,互联网
221,300033,同花顺,互联网
222,300015,爱尔眼科,医药生物
223,300014,亿纬锂能,电气设备
224,003816,中国广核,公用事业
225,002938,鹏鼎控股,电子设备
226,002920,德赛西威,交运设备
227,002916,深南电路,电子设备
228,002736,国信证券,金融
229,002714,牧原股份,农林牧渔
230,002709,天赐材料,有色金属
231,002648,卫星化学,基础化工
232,002601,龙佰集团,基础化工
233,002600,领益智造,电子设备
234,002594,比亚迪,交运设备
235,002493,荣盛石化,基础化工
236,002475,立讯精密,电子设备
237,002466,天齐锂业,有色金属
238,002463,沪电股份,电子设备
239,002460,赣锋锂业,有色金属
240,002459,晶澳科技,电气设备
241,002422,科伦药业,医药生物
242,002415,海康威视,信息技术
243,002371,北方华创,电子设备
244,002352,顺丰控股,交通运输
245,002311,海大集团,农林牧渔
246,002304,洋河股份,食品饮料
247,002252,上海莱士,医药生物
248,002241,歌尔股份,电子设备
249,002236,大华股份,信息技术
250,002230,科大讯飞,信息技术
251,002180,纳思达,信息技术
252,002179,中航光电,电子设备
253,002142,宁波银行,金融
254,002129,TCL中环,电气设备
255,002074,国轩高科,电气设备
256,002050,三花智控,机械设备
257,002049,紫光国微,电子设备
258,002028,思源电气,电气设备
259,002027,分众传媒,互联网
260,002001,新和成,医药生物
261,001979,招商蛇口,房地产
262,001965,招商公路,交通运输
263,001391,国货航,交通运输
264,001289,龙源电力,公用事业
265,000999,华润三九,医药生物
266,000983,山西焦煤,化石能源
267,000977,浪潮信息,信息技术
268,000975,山金国际,有色金属
269,000963,华东医药,医药生物
270,000938,紫光股份,信息技术
271,000895,双汇发展,食品饮料
272,000876,新希望,农林牧渔
273,000858,五粮液,食品饮料
274,000807,云铝股份,有色金属
275,000800,一汽解放,交运设备
276,000792,盐湖股份,基础化工
277,000786,北新建材,建材
278,000776,广发证券,金融
279,000768,中航西飞,国防与装备
280,000725,京东方A,电子设备
281,000708,中信特钢,钢铁
282,000661,长春高新,医药生物
283,000651,格力电器,家电
284,000630,铜陵有色,有色金属
285,000625,长安汽车,交运设备
286,000617,中油资本,金融
287,000596,古井贡酒,食品饮料
288,000568,泸州老窖,食品饮料
289,000538,云南白药,医药生物
290,000425,徐工机械,机械设备
291,000408,藏格矿业,基础化工
292,000338,潍柴动力,交运设备
293,000333,美的集团,家电
294,000301,东方盛虹,基础化工
295,000166,申万宏源,金融
296,000157,中联重科,机械设备
297,000100,TCL科技,电子设备
298,000063,中兴通讯,信息技术
299,000002,万科A,房地产
300,000001,平安银行,金融
